"Test ID","Test Name","Business Title","Feature Area","Severity","Status","Start Time","Stop Time","Duration (s)","Browser","Tags","Created At","Updated At","Monitor Status"
"API_KEY_SAP_INV_FAIL_001","API Key: Invalid key returns 401 for SAP integration","API Key: Invalid key returns 401 for SAP integration","API Apikey.data.json","Normal","✅ Passed","09 Jun 2026, 04:08:04 pm","09 Jun 2026, 04:08:04 pm","0.03 s","Chromium","apikey.data.json","2026-06-01","2026-06-01","Normal"
"API_KEY_SAP_INV_REVOKE_001","API Key: Revoked key returns 401 for SAP integration","API Key: Revoked key returns 401 for SAP integration","API Apikey.data.json","Normal","✅ Passed","09 Jun 2026, 04:08:04 pm","09 Jun 2026, 04:08:04 pm","0.03 s","Chromium","apikey.data.json","2026-06-01","2026-06-01","Normal"
"API_KEY_SAP_ITEM_001","API Key: Valid integration key can bulk upload items","API Key: Valid integration key can bulk upload items","API Apikey.data.json","Normal","❌ Failed","09 Jun 2026, 04:08:05 pm","09 Jun 2026, 04:08:05 pm","0.14 s","Chromium","apikey.data.json","2026-06-01","2026-06-01","Normal"
"API_KEY_SAP_ITEM_DENY_001","API Key: Tenant B key cannot upload items to Tenant A endpoint (Isolation)","API Key: Tenant B key cannot upload items to Tenant A endpoint (Isolation)","API Apikey.data.json","Normal","❌ Failed","09 Jun 2026, 04:08:06 pm","09 Jun 2026, 04:08:06 pm","0.14 s","Chromium","apikey.data.json","2026-06-01","2026-06-01","Normal"
"API_KEY_SAP_SELLER_001","API Key: Valid integration key can bulk upload sellers","API Key: Valid integration key can bulk upload sellers","API Apikey.data.json","Normal","❌ Failed","09 Jun 2026, 04:08:04 pm","09 Jun 2026, 04:08:04 pm","0.04 s","Chromium","apikey.data.json","2026-06-01","2026-06-01","Normal"
"API_MFA_DEV_LIST_001","Smoke: List registered MFA devices for current user","List registered MFA devices for current user","API Api.data.json","Normal","❌ Failed","09 Jun 2026, 04:08:00 pm","09 Jun 2026, 04:08:01 pm","0.96 s","Chromium","api.data.json","2026-06-01","2026-06-01","Normal"
"API_PAGE_INV_001","Smoke: Pagination for invoice list","Pagination for invoice list","API Api.data.json","Normal","✅ Passed","09 Jun 2026, 04:08:03 pm","09 Jun 2026, 04:08:04 pm","1.32 s","Chromium","api.data.json","2026-06-01","2026-06-01","Normal"
"API_PAGE_TEN_001","Smoke: Pagination for tenant list","Pagination for tenant list","API Api.data.json","Normal","✅ Passed","09 Jun 2026, 04:08:04 pm","09 Jun 2026, 04:08:05 pm","0.76 s","Chromium","api.data.json","2026-06-01","2026-06-01","Normal"
"API_PAGE_USR_001","Smoke: Pagination for user list","Pagination for user list","API Api.data.json","Normal","✅ Passed","09 Jun 2026, 04:08:03 pm","09 Jun 2026, 04:08:04 pm","1.08 s","Chromium","api.data.json","2026-06-01","2026-06-01","Normal"
"API_PAYEE_COMPANY_COMPANY_3_ADMIN_RESTRICTED","COMPANY_3_ADMIN should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:09:25 pm","09 Jun 2026, 04:09:26 pm","0.72 s","Chromium","","—","—","Normal"
"API_PAYEE_COMPANY_COMPANY_ADMIN_PERMISSION","COMPANY_ADMIN should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:26 pm","09 Jun 2026, 04:09:28 pm","1.87 s","Chromium","","—","—","Normal"
"API_PAYEE_COMPANY_COMPANY_VIEWER_PERMISSION","COMPANY_VIEWER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:25 pm","09 Jun 2026, 04:09:27 pm","1.56 s","Chromium","","—","—","Normal"
"API_PAYEE_COMPANY_INVOICE_APPROVER_2_RESTRICTED","INVOICE_APPROVER_2 should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:09:26 pm","09 Jun 2026, 04:09:27 pm","0.27 s","Chromium","","—","—","Normal"
"API_PAYEE_COMPANY_INVOICE_CREATOR_2_RESTRICTED","INVOICE_CREATOR_2 should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:09:26 pm","09 Jun 2026, 04:09:27 pm","0.58 s","Chromium","","—","—","Normal"
"API_PAYEE_COMPANY_SUPER_ADMIN_PERMISSION","SUPER_ADMIN should return 200 (PERMISSION)","","","","❌ Failed","09 Jun 2026, 04:09:25 pm","09 Jun 2026, 04:09:25 pm","0.49 s","Chromium","","—","—","Normal"
"API_PAYEE_COMPANY_TENANT_2_ADMIN_RESTRICTED","TENANT_2_ADMIN should return 403 (RESTRICTED)","","","","❌ Failed","09 Jun 2026, 04:09:25 pm","09 Jun 2026, 04:09:30 pm","4.88 s","Chromium","","—","—","Normal"
"API_PAYEE_COMPANY_TENANT_ADMIN_PERMISSION","TENANT_ADMIN should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:25 pm","09 Jun 2026, 04:09:26 pm","1.64 s","Chromium","","—","—","Normal"
"API_PAYEE_COMPANY_TENANT_VIEWER_PERMISSION","TENANT_VIEWER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:25 pm","09 Jun 2026, 04:09:26 pm","1.49 s","Chromium","","—","—","Normal"
"API_PAYEE_CREATE_COMPANY_3_ADMIN_RESTRICTED","COMPANY_3_ADMIN should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:09:20 pm","09 Jun 2026, 04:09:20 pm","0.75 s","Chromium","","—","—","Normal"
"API_PAYEE_CREATE_COMPANY_ADMIN_PERMISSION","COMPANY_ADMIN should return 201 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:18 pm","09 Jun 2026, 04:09:19 pm","1.20 s","Chromium","","—","—","Normal"
"API_PAYEE_CREATE_COMPANY_VIEWER_PERMISSION","COMPANY_VIEWER should return 201 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:18 pm","09 Jun 2026, 04:09:19 pm","1.33 s","Chromium","","—","—","Normal"
"API_PAYEE_CREATE_INVALID_DATA_SUPER_ADMIN_PERMISSION","SUPER_ADMIN should return 400 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:20 pm","09 Jun 2026, 04:09:20 pm","0.38 s","Chromium","","—","—","Normal"
"API_PAYEE_CREATE_INVOICE_APPROVER_2_RESTRICTED","INVOICE_APPROVER_2 should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:09:19 pm","09 Jun 2026, 04:09:20 pm","0.67 s","Chromium","","—","—","Normal"
"API_PAYEE_CREATE_INVOICE_APPROVER_PERMISSION","INVOICE_APPROVER should return 201 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:18 pm","09 Jun 2026, 04:09:20 pm","1.33 s","Chromium","","—","—","Normal"
"API_PAYEE_CREATE_INVOICE_CREATOR_2_RESTRICTED","INVOICE_CREATOR_2 should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:09:19 pm","09 Jun 2026, 04:09:20 pm","0.69 s","Chromium","","—","—","Normal"
"API_PAYEE_CREATE_INVOICE_CREATOR_PERMISSION","INVOICE_CREATOR should return 201 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:19 pm","09 Jun 2026, 04:09:21 pm","1.60 s","Chromium","","—","—","Normal"
"API_PAYEE_CREATE_NEGATIVE_DATA_SUPER_ADMIN_PERMISSION","SUPER_ADMIN should return 400 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:20 pm","09 Jun 2026, 04:09:20 pm","0.40 s","Chromium","","—","—","Normal"
"API_PAYEE_CREATE_SUPER_ADMIN_PERMISSION","SUPER_ADMIN should return 201 (PERMISSION)","","","","❌ Failed","09 Jun 2026, 04:09:18 pm","09 Jun 2026, 04:09:18 pm","0.52 s","Chromium","","—","—","Normal"
"API_PAYEE_CREATE_TENANT_2_ADMIN_RESTRICTED","TENANT_2_ADMIN should return 403 (RESTRICTED)","","","","❌ Failed","09 Jun 2026, 04:09:19 pm","09 Jun 2026, 04:09:24 pm","4.81 s","Chromium","","—","—","Normal"
"API_PAYEE_CREATE_TENANT_ADMIN_PERMISSION","TENANT_ADMIN should return 201 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:16 pm","09 Jun 2026, 04:09:18 pm","1.21 s","Chromium","","—","—","Normal"
"API_PAYEE_CREATE_TENANT_VIEWER_PERMISSION","TENANT_VIEWER should return 201 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:18 pm","09 Jun 2026, 04:09:19 pm","1.10 s","Chromium","","—","—","Normal"
"API_PAYEE_GET_BY_ID_COMPANY_3_ADMIN_RESTRICTED","COMPANY_3_ADMIN should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:09:27 pm","09 Jun 2026, 04:09:28 pm","0.30 s","Chromium","","—","—","Normal"
"API_PAYEE_GET_BY_ID_COMPANY_ADMIN_PERMISSION","COMPANY_ADMIN should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:27 pm","09 Jun 2026, 04:09:28 pm","0.85 s","Chromium","","—","—","Normal"
"API_PAYEE_GET_BY_ID_COMPANY_VIEWER_PERMISSION","COMPANY_VIEWER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:27 pm","09 Jun 2026, 04:09:27 pm","0.52 s","Chromium","","—","—","Normal"
"API_PAYEE_GET_BY_ID_INVOICE_APPROVER_2_RESTRICTED","INVOICE_APPROVER_2 should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:09:28 pm","09 Jun 2026, 04:09:29 pm","0.56 s","Chromium","","—","—","Normal"
"API_PAYEE_GET_BY_ID_INVOICE_APPROVER_PERMISSION","INVOICE_APPROVER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:27 pm","09 Jun 2026, 04:09:28 pm","0.90 s","Chromium","","—","—","Normal"
"API_PAYEE_GET_BY_ID_INVOICE_CREATOR_2_RESTRICTED","INVOICE_CREATOR_2 should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:09:28 pm","09 Jun 2026, 04:09:28 pm","0.26 s","Chromium","","—","—","Normal"
"API_PAYEE_GET_BY_ID_INVOICE_CREATOR_PERMISSION","INVOICE_CREATOR should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:28 pm","09 Jun 2026, 04:09:29 pm","0.83 s","Chromium","","—","—","Normal"
"API_PAYEE_GET_BY_ID_SUPER_ADMIN_PERMISSION","SUPER_ADMIN should return 200 (PERMISSION)","","","","❌ Failed","09 Jun 2026, 04:09:27 pm","09 Jun 2026, 04:09:27 pm","0.41 s","Chromium","","—","—","Normal"
"API_PAYEE_GET_BY_ID_TENANT_2_ADMIN_RESTRICTED","TENANT_2_ADMIN should return 403 (RESTRICTED)","","","","❌ Failed","09 Jun 2026, 04:09:28 pm","09 Jun 2026, 04:09:32 pm","4.53 s","Chromium","","—","—","Normal"
"API_PAYEE_GET_BY_ID_TENANT_ADMIN_PERMISSION","TENANT_ADMIN should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:28 pm","09 Jun 2026, 04:09:29 pm","0.88 s","Chromium","","—","—","Normal"
"API_PAYEE_GET_BY_ID_TENANT_VIEWER_PERMISSION","TENANT_VIEWER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:27 pm","09 Jun 2026, 04:09:27 pm","0.73 s","Chromium","","—","—","Normal"
"API_PAYEE_LIST_COMPANY_3_ADMIN_RESTRICTED","COMPANY_3_ADMIN should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:09:25 pm","09 Jun 2026, 04:09:25 pm","0.58 s","Chromium","","—","—","Normal"
"API_PAYEE_LIST_COMPANY_ADMIN_PERMISSION","COMPANY_ADMIN should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:23 pm","09 Jun 2026, 04:09:24 pm","1.49 s","Chromium","","—","—","Normal"
"API_PAYEE_LIST_COMPANY_VIEWER_PERMISSION","COMPANY_VIEWER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:23 pm","09 Jun 2026, 04:09:24 pm","1.63 s","Chromium","","—","—","Normal"
"API_PAYEE_LIST_INVOICE_APPROVER_2_RESTRICTED","INVOICE_APPROVER_2 should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:09:24 pm","09 Jun 2026, 04:09:25 pm","0.58 s","Chromium","","—","—","Normal"
"API_PAYEE_LIST_INVOICE_APPROVER_PERMISSION","INVOICE_APPROVER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:23 pm","09 Jun 2026, 04:09:25 pm","1.63 s","Chromium","","—","—","Normal"
"API_PAYEE_LIST_INVOICE_CREATOR_2_RESTRICTED","INVOICE_CREATOR_2 should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:09:24 pm","09 Jun 2026, 04:09:25 pm","0.64 s","Chromium","","—","—","Normal"
"API_PAYEE_LIST_INVOICE_CREATOR_PERMISSION","INVOICE_CREATOR should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:23 pm","09 Jun 2026, 04:09:24 pm","1.57 s","Chromium","","—","—","Normal"
"API_PAYEE_LIST_SUPER_ADMIN_PERMISSION","SUPER_ADMIN should return 200 (PERMISSION)","","","","❌ Failed","09 Jun 2026, 04:09:22 pm","09 Jun 2026, 04:09:22 pm","0.19 s","Chromium","","—","—","Normal"
"API_PAYEE_LIST_TENANT_2_ADMIN_RESTRICTED","TENANT_2_ADMIN should return 403 (RESTRICTED)","","","","❌ Failed","09 Jun 2026, 04:09:24 pm","09 Jun 2026, 04:09:29 pm","4.62 s","Chromium","","—","—","Normal"
"API_PAYEE_LIST_TENANT_ADMIN_PERMISSION","TENANT_ADMIN should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:24 pm","09 Jun 2026, 04:09:25 pm","1.62 s","Chromium","","—","—","Normal"
"API_PAYEE_LIST_TENANT_VIEWER_PERMISSION","TENANT_VIEWER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:23 pm","09 Jun 2026, 04:09:24 pm","1.43 s","Chromium","","—","—","Normal"
"API_PAYEE_SEARCH_COMPANY_3_ADMIN_RESTRICTED","COMPANY_3_ADMIN should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:09:22 pm","09 Jun 2026, 04:09:23 pm","0.58 s","Chromium","","—","—","Normal"
"API_PAYEE_SEARCH_COMPANY_ADMIN_PERMISSION","COMPANY_ADMIN should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:20 pm","09 Jun 2026, 04:09:22 pm","1.76 s","Chromium","","—","—","Normal"
"API_PAYEE_SEARCH_COMPANY_VIEWER_PERMISSION","COMPANY_VIEWER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:20 pm","09 Jun 2026, 04:09:22 pm","1.72 s","Chromium","","—","—","Normal"
"API_PAYEE_SEARCH_INVOICE_APPROVER_2_RESTRICTED","INVOICE_APPROVER_2 should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:09:22 pm","09 Jun 2026, 04:09:23 pm","0.58 s","Chromium","","—","—","Normal"
"API_PAYEE_SEARCH_INVOICE_APPROVER_PERMISSION","INVOICE_APPROVER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:21 pm","09 Jun 2026, 04:09:23 pm","1.75 s","Chromium","","—","—","Normal"
"API_PAYEE_SEARCH_INVOICE_CREATOR_2_RESTRICTED","INVOICE_CREATOR_2 should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:09:22 pm","09 Jun 2026, 04:09:22 pm","0.36 s","Chromium","","—","—","Normal"
"API_PAYEE_SEARCH_INVOICE_CREATOR_PERMISSION","INVOICE_CREATOR should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:22 pm","09 Jun 2026, 04:09:23 pm","1.77 s","Chromium","","—","—","Normal"
"API_PAYEE_SEARCH_SUPER_ADMIN_PERMISSION","SUPER_ADMIN should return 200 (PERMISSION)","","","","❌ Failed","09 Jun 2026, 04:09:20 pm","09 Jun 2026, 04:09:20 pm","0.49 s","Chromium","","—","—","Normal"
"API_PAYEE_SEARCH_TENANT_2_ADMIN_RESTRICTED","TENANT_2_ADMIN should return 403 (RESTRICTED)","","","","❌ Failed","09 Jun 2026, 04:09:22 pm","09 Jun 2026, 04:09:27 pm","4.83 s","Chromium","","—","—","Normal"
"API_PAYEE_SEARCH_TENANT_ADMIN_PERMISSION","TENANT_ADMIN should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:21 pm","09 Jun 2026, 04:09:23 pm","1.72 s","Chromium","","—","—","Normal"
"API_PAYEE_SEARCH_TENANT_VIEWER_PERMISSION","TENANT_VIEWER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:20 pm","09 Jun 2026, 04:09:22 pm","1.66 s","Chromium","","—","—","Normal"
"API_PAYEE_STATUS_PATCH_COMPANY_3_ADMIN_RESTRICTED","COMPANY_3_ADMIN should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:09:31 pm","09 Jun 2026, 04:09:32 pm","0.58 s","Chromium","","—","—","Normal"
"API_PAYEE_STATUS_PATCH_COMPANY_ADMIN_PERMISSION","COMPANY_ADMIN should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:31 pm","09 Jun 2026, 04:09:32 pm","0.81 s","Chromium","","—","—","Normal"
"API_PAYEE_STATUS_PATCH_COMPANY_VIEWER_PERMISSION","COMPANY_VIEWER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:30 pm","09 Jun 2026, 04:09:31 pm","0.48 s","Chromium","","—","—","Normal"
"API_PAYEE_STATUS_PATCH_INVOICE_APPROVER_2_RESTRICTED","INVOICE_APPROVER_2 should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:09:31 pm","09 Jun 2026, 04:09:32 pm","0.24 s","Chromium","","—","—","Normal"
"API_PAYEE_STATUS_PATCH_INVOICE_APPROVER_PERMISSION","INVOICE_APPROVER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:31 pm","09 Jun 2026, 04:09:31 pm","0.48 s","Chromium","","—","—","Normal"
"API_PAYEE_STATUS_PATCH_INVOICE_CREATOR_2_RESTRICTED","INVOICE_CREATOR_2 should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:09:31 pm","09 Jun 2026, 04:09:32 pm","0.53 s","Chromium","","—","—","Normal"
"API_PAYEE_STATUS_PATCH_INVOICE_CREATOR_PERMISSION","INVOICE_CREATOR should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:30 pm","09 Jun 2026, 04:09:31 pm","0.52 s","Chromium","","—","—","Normal"
"API_PAYEE_STATUS_PATCH_SUPER_ADMIN_PERMISSION","SUPER_ADMIN should return 200 (PERMISSION)","","","","❌ Failed","09 Jun 2026, 04:09:30 pm","09 Jun 2026, 04:09:30 pm","0.43 s","Chromium","","—","—","Normal"
"API_PAYEE_STATUS_PATCH_TENANT_2_ADMIN_RESTRICTED","TENANT_2_ADMIN should return 403 (RESTRICTED)","","","","❌ Failed","09 Jun 2026, 04:09:31 pm","09 Jun 2026, 04:09:38 pm","7.18 s","Chromium","","—","—","Normal"
"API_PAYEE_STATUS_PATCH_TENANT_ADMIN_PERMISSION","TENANT_ADMIN should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:30 pm","09 Jun 2026, 04:09:30 pm","0.51 s","Chromium","","—","—","Normal"
"API_PAYEE_STATUS_PATCH_TENANT_VIEWER_PERMISSION","TENANT_VIEWER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:32 pm","09 Jun 2026, 04:09:32 pm","0.80 s","Chromium","","—","—","Normal"
"API_PAYEE_TEMPLATE_GET_COMPANY_3_ADMIN_RESTRICTED","COMPANY_3_ADMIN should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:09:32 pm","09 Jun 2026, 04:09:33 pm","0.63 s","Chromium","","—","—","Normal"
"API_PAYEE_TEMPLATE_GET_COMPANY_ADMIN_PERMISSION","COMPANY_ADMIN should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:33 pm","09 Jun 2026, 04:09:34 pm","0.83 s","Chromium","","—","—","Normal"
"API_PAYEE_TEMPLATE_GET_COMPANY_VIEWER_PERMISSION","COMPANY_VIEWER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:32 pm","09 Jun 2026, 04:09:33 pm","0.56 s","Chromium","","—","—","Normal"
"API_PAYEE_TEMPLATE_GET_INVOICE_APPROVER_2_RESTRICTED","INVOICE_APPROVER_2 should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:09:33 pm","09 Jun 2026, 04:09:33 pm","0.29 s","Chromium","","—","—","Normal"
"API_PAYEE_TEMPLATE_GET_INVOICE_APPROVER_PERMISSION","INVOICE_APPROVER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:32 pm","09 Jun 2026, 04:09:33 pm","0.84 s","Chromium","","—","—","Normal"
"API_PAYEE_TEMPLATE_GET_INVOICE_CREATOR_2_RESTRICTED","INVOICE_CREATOR_2 should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:09:33 pm","09 Jun 2026, 04:09:33 pm","0.31 s","Chromium","","—","—","Normal"
"API_PAYEE_TEMPLATE_GET_INVOICE_CREATOR_PERMISSION","INVOICE_CREATOR should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:34 pm","09 Jun 2026, 04:09:35 pm","1.08 s","Chromium","","—","—","Normal"
"API_PAYEE_TEMPLATE_GET_SUPER_ADMIN_PERMISSION","SUPER_ADMIN should return 200 (PERMISSION)","","","","❌ Failed","09 Jun 2026, 04:09:32 pm","09 Jun 2026, 04:09:32 pm","0.42 s","Chromium","","—","—","Normal"
"API_PAYEE_TEMPLATE_GET_TENANT_2_ADMIN_RESTRICTED","TENANT_2_ADMIN should return 403 (RESTRICTED)","","","","❌ Failed","09 Jun 2026, 04:09:33 pm","09 Jun 2026, 04:09:38 pm","5.02 s","Chromium","","—","—","Normal"
"API_PAYEE_TEMPLATE_GET_TENANT_ADMIN_PERMISSION","TENANT_ADMIN should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:32 pm","09 Jun 2026, 04:09:32 pm","0.46 s","Chromium","","—","—","Normal"
"API_PAYEE_TEMPLATE_GET_TENANT_VIEWER_PERMISSION","TENANT_VIEWER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:32 pm","09 Jun 2026, 04:09:33 pm","0.82 s","Chromium","","—","—","Normal"
"API_PAYEE_UPDATE_COMPANY_3_ADMIN_RESTRICTED","COMPANY_3_ADMIN should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:09:29 pm","09 Jun 2026, 04:09:30 pm","0.64 s","Chromium","","—","—","Normal"
"API_PAYEE_UPDATE_COMPANY_ADMIN_PERMISSION","COMPANY_ADMIN should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:30 pm","09 Jun 2026, 04:09:31 pm","1.33 s","Chromium","","—","—","Normal"
"API_PAYEE_UPDATE_COMPANY_VIEWER_PERMISSION","COMPANY_VIEWER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:30 pm","09 Jun 2026, 04:09:31 pm","1.03 s","Chromium","","—","—","Normal"
"API_PAYEE_UPDATE_INVOICE_APPROVER_2_RESTRICTED","INVOICE_APPROVER_2 should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:09:30 pm","09 Jun 2026, 04:09:30 pm","0.63 s","Chromium","","—","—","Normal"
"API_PAYEE_UPDATE_INVOICE_APPROVER_PERMISSION","INVOICE_APPROVER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:29 pm","09 Jun 2026, 04:09:30 pm","0.67 s","Chromium","","—","—","Normal"
"API_PAYEE_UPDATE_INVOICE_CREATOR_2_RESTRICTED","INVOICE_CREATOR_2 should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:09:30 pm","09 Jun 2026, 04:09:30 pm","0.28 s","Chromium","","—","—","Normal"
"API_PAYEE_UPDATE_INVOICE_CREATOR_PERMISSION","INVOICE_CREATOR should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:29 pm","09 Jun 2026, 04:09:30 pm","1.00 s","Chromium","","—","—","Normal"
"API_PAYEE_UPDATE_SUPER_ADMIN_PERMISSION","SUPER_ADMIN should return 200 (PERMISSION)","","","","❌ Failed","09 Jun 2026, 04:09:28 pm","09 Jun 2026, 04:09:28 pm","0.41 s","Chromium","","—","—","Normal"
"API_PAYEE_UPDATE_TENANT_2_ADMIN_RESTRICTED","TENANT_2_ADMIN should return 403 (RESTRICTED)","","","","❌ Failed","09 Jun 2026, 04:09:29 pm","09 Jun 2026, 04:09:34 pm","4.71 s","Chromium","","—","—","Normal"
"API_PAYEE_UPDATE_TENANT_ADMIN_PERMISSION","TENANT_ADMIN should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:28 pm","09 Jun 2026, 04:09:29 pm","0.64 s","Chromium","","—","—","Normal"
"API_PAYEE_UPDATE_TENANT_VIEWER_PERMISSION","TENANT_VIEWER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:29 pm","09 Jun 2026, 04:09:29 pm","0.66 s","Chromium","","—","—","Normal"
"API_SELLER_COMPANY_COMPANY_2_ADMIN_RESTRICTED","COMPANY_2_ADMIN should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:09:40 pm","09 Jun 2026, 04:09:41 pm","0.61 s","Chromium","","—","—","Normal"
"API_SELLER_COMPANY_COMPANY_ADMIN_PERMISSION","COMPANY_ADMIN should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:40 pm","09 Jun 2026, 04:09:40 pm","0.78 s","Chromium","","—","—","Normal"
"API_SELLER_COMPANY_COMPANY_VIEWER_PERMISSION","COMPANY_VIEWER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:41 pm","09 Jun 2026, 04:09:42 pm","0.95 s","Chromium","","—","—","Normal"
"API_SELLER_COMPANY_INVOICE_APPROVER_2_RESTRICTED","INVOICE_APPROVER_2 should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:09:41 pm","09 Jun 2026, 04:09:41 pm","0.54 s","Chromium","","—","—","Normal"
"API_SELLER_COMPANY_INVOICE_APPROVER_PERMISSION","INVOICE_APPROVER should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:40 pm","09 Jun 2026, 04:09:41 pm","0.76 s","Chromium","","—","—","Normal"
"API_SELLER_COMPANY_INVOICE_CREATOR_2_RESTRICTED","INVOICE_CREATOR_2 should return 403 (RESTRICTED)","","","","✅ Passed","09 Jun 2026, 04:09:41 pm","09 Jun 2026, 04:09:41 pm","0.53 s","Chromium","","—","—","Normal"
"API_SELLER_COMPANY_INVOICE_CREATOR_PERMISSION","INVOICE_CREATOR should return 200 (PERMISSION)","","","","✅ Passed","09 Jun 2026, 04:09:40 pm","09 Jun 2026, 04:09:41 pm","0.74 s","Chromium","","—","—","Normal"
"API_SELLER_COMPANY_SUPER_ADMIN_PERMISSION","SUPER_ADMIN should return 200 (PERMISSION)","","","","❌ Failed","09 Jun 2026, 04:09:39 pm","09 Jun 2026, 04:09:39 pm","0.21 s","Chromium","","—","—","Normal"
